run_id,strategy,split,split_type,n_patients_eval,total_train_patients,data_parallel_gpus,aux_epochs_trained,main_epochs_trained,missingness_aware,n_phenotype_classes,lambda_phenotype,lambda_phenotype_contrastive,macro_f1,window_match_rate,full_patient_match_rate,zero_match_patient_rate,encoder_macro_f1,transition_macro_f1_gain,mortality_auroc,sepsis_auroc,remaining_los_mae_hours,next_mv_auroc,next_rrt_auroc,generated_at
s6_trajectory_encoder_gru_v2,S6 GRU baseline,test,held-out S0 test,3997,11986,,,8,,,,,0.821372248862424,0.8291218413810357,0.6247185389041782,0.04328246184638479,0.7897558189408338,0.031616429921590194,0.8303157383192554,,1.6092326641082764,0.9675094678351968,,2026-05-02T23:34:54
s6_trajectory_encoder_source_balanced_dann_coral_v1,Source-balanced,test,held-out S0 test,3997,11986,,4.0,0,,,,,0.7860092047546926,0.7922942206654991,0.5911933950462848,0.0657993495121341,0.7545049419081222,0.031504262846570374,0.8226775383012195,,5.337342262268066,0.9643481555661271,,2026-05-03T15:48:26
s6_trajectory_encoder_source_balanced_dann_coral_s0ft_v1,Source-balanced + S0 FT,test,held-out S0 test,3997,11986,,4.0,4,,,,,0.7887998862843448,0.7942456842631974,0.5909432074055542,0.06404803602702026,0.7457990496329143,0.04300083665143051,0.8306694622298374,,2.1369569301605225,0.9669228576169705,,2026-05-03T16:01:03
s6_trajectory_encoder_missing_groupdro_s0ft_v1,Missingness-aware GroupDRO + S0 FT,test,held-out S0 test,3997,11986,,3.0,4,True,,,,0.8062719698112524,0.8116587440580435,0.6102076557418064,0.05354015511633725,0.7850761713164098,0.021195798494842544,0.8321115018887587,,1.9092755317687988,0.968031791892265,,2026-05-03T16:30:24
s7_all_sources_8gpu_20260516_1945,S7 all-source 8GPU,test,in-sample monitoring,11986,347634,8.0,7.0,0,True,,,,0.7694804333801797,0.7774236609377607,0.5871850492240948,0.08551643584181545,0.7297747568191129,0.03970567656106683,0.9107967176809773,,1.2787688970565796,0.9745705441903332,,2026-05-16T20:32:06
s7_phenotype_contrastive_trial_20260516,S7 + phenotype CE/SupCon capped,test,in-sample monitoring,11986,41986,8.0,8.0,0,True,4.0,0.75,0.1,0.9571177463363605,0.9592190889370933,0.8336392457867512,0.0001668613382279326,0.970611674235651,-0.013493927899290492,0.8469811144293884,,2.9523613452911377,0.9683242833537997,,2026-05-16T21:23:08
s7_phenotype_contrastive_full_20260516,S7 + phenotype CE/SupCon full,test,in-sample monitoring,11986,347634,7.0,8.0,0,True,4.0,0.75,0.1,0.9562308594924265,0.9583347238444853,0.8317203403971299,0.0003337226764558652,0.9709154883540718,-0.014684628861645344,0.8484669929243582,,2.9549930095672607,0.9684646706192623,,2026-05-16T22:20:13
