run_id,strategy,split,split_type,n_patients_eval,total_train_patients,data_parallel_gpus,aux_epochs_trained,main_epochs_trained,missingness_aware,gru_d,macro_f1,window_match_rate,full_patient_match_rate,zero_match_patient_rate,encoder_macro_f1,transition_macro_f1_gain,mortality_auroc,remaining_los_mae_hours,next_mv_auroc,next_rrt_auroc,generated_at
s6_trajectory_encoder_gru_v2,S6 GRU baseline,test,held-out S0 test,3997,11986,1,0,8,False,False,0.821372248862424,0.8291218413810357,0.6247185389041782,0.04328246184638479,0.7897558189408338,0.031616429921590194,0.8303157383192554,1.6092326641082764,0.9675094678351968,,2026-05-02T23:34:54
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,test,held-out S0 test,3997,11986,1,4,8,False,False,0.7730851151976906,0.7859394545909432,0.5891918939204404,0.07930948211158369,0.73500027012862,0.038084845069070616,0.8252146772076432,1.111257791519165,0.969871392876394,,2026-05-03T00:39:57
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,test,held-out S0 test,3997,11986,1,4,6,False,False,0.7792389723194392,0.7854390793094821,0.5869402051538654,0.07305479109331998,0.7501619383458681,0.029077033973571087,0.8220476949128767,5.054533958435059,0.9659810016070979,,2026-05-03T15:30:01
s6_trajectory_encoder_loso_eicu_v1,LOSO: exclude eICU,test,held-out S0 test,3997,11986,1,4,6,False,False,0.7744618848361544,0.7844883662747061,0.5874405804353265,0.07955966975231424,0.7455836462851317,0.028878238551022672,0.8289643290147394,2.2442243099212646,0.9657026073270571,,2026-05-03T15:20:04
s6_trajectory_encoder_source_balanced_dann_coral_v1,Source-balanced,test,held-out S0 test,3997,241143,1,4,0,False,False,0.7860092047546926,0.7922942206654991,0.5911933950462848,0.0657993495121341,0.7545049419081222,0.031504262846570374,0.8226775383012195,5.337342262268066,0.9643481555661271,,2026-05-03T15:48:26
s6_trajectory_encoder_source_balanced_dann_coral_s0ft_v1,Source-balanced + S0 FT,test,held-out S0 test,3997,241143,1,4,4,False,False,0.7887998862843448,0.7942456842631974,0.5909432074055542,0.06404803602702026,0.7457990496329143,0.04300083665143051,0.8306694622298374,2.1369569301605225,0.9669228576169705,,2026-05-03T16:01:03
s6_trajectory_encoder_missing_groupdro_s0ft_v1,Missingness-aware GroupDRO + S0 FT,test,held-out S0 test,3997,241143,1,3,4,True,False,0.8062719698112524,0.8116587440580435,0.6102076557418064,0.05354015511633725,0.7850761713164098,0.021195798494842544,0.8321115018887587,1.9092755317687988,0.968031791892265,,2026-05-03T16:30:24
s6_trajectory_encoder_grud_groupdro_v2_planB,GRU-D GroupDRO,test,held-out S0 test,3997,241143,1,11,0,True,True,0.6765549340330603,0.6825118839129347,0.5056292219164373,0.17663247435576682,0.6488511132567139,0.027703820776346477,0.7621413813488842,3.0231919288635254,0.9624160745649547,,2026-05-04T18:35:56
s7_all_sources_8gpu_20260516_1945,S7 all-source 8GPU,test,in-sample monitoring,11986,347634,8,7,0,True,False,0.7694804333801797,0.7774236609377607,0.5871850492240948,0.08551643584181545,0.7297747568191129,0.03970567656106683,0.9107967176809773,1.2787688970565796,0.9745705441903332,,2026-05-16T20:32:06
